file,category,status,note
bridge/replBridgeTransport.ts,external-bridge,external-service-blocked,bridge requires external runtime
bridge/sessionIdCompat.ts,external-bridge,external-service-blocked,bridge requires external runtime
bridge/sessionRunner.ts,external-bridge,external-service-blocked,bridge requires external runtime
bridge/trustedDevice.ts,external-bridge,external-service-blocked,bridge requires external runtime
bridge/types.ts,external-bridge,external-service-blocked,bridge requires external runtime
bridge/workSecret.ts,external-bridge,external-service-blocked,bridge requires external runtime
buddy/CompanionSprite.tsx,external-buddy,external-service-blocked,buddy requires external runtime
buddy/companion.ts,external-buddy,external-service-blocked,buddy requires external runtime
buddy/prompt.ts,external-buddy,external-service-blocked,buddy requires external runtime
buddy/sprites.ts,external-buddy,external-service-blocked,buddy requires external runtime
buddy/types.ts,external-buddy,external-service-blocked,buddy requires external runtime
buddy/useBuddyNotification.tsx,external-buddy,external-service-blocked,buddy requires external runtime
cli/exit.ts,cli,covered-by-rust-equivalent,cli/exit
cli/handlers/agents.ts,cli,covered-by-rust-equivalent,cli/agents
cli/handlers/auth.ts,cli,covered-by-rust-equivalent,cli/auth
cli/handlers/autoMode.ts,cli,covered-by-rust-equivalent,cli/autoMode
cli/handlers/mcp.tsx,cli,needs-port,cli/mcp
cli/handlers/plugins.ts,cli,covered-by-rust-equivalent,cli/plugins
cli/handlers/util.tsx,cli,needs-port,cli/util
cli/ndjsonSafeStringify.ts,cli,covered-by-rust-equivalent,cli/ndjsonSafeStringify
cli/print.ts,cli,covered-by-rust-equivalent,cli/print
cli/remoteIO.ts,cli,covered-by-rust-equivalent,cli/remoteIO
cli/structuredIO.ts,cli,covered-by-rust-equivalent,cli/structuredIO
cli/transports/HybridTransport.ts,cli,covered-by-rust-equivalent,cli/HybridTransport
cli/transports/SSETransport.ts,cli,covered-by-rust-equivalent,cli/SSETransport
cli/transports/SerialBatchEventUploader.ts,cli,covered-by-rust-equivalent,cli/SerialBatchEventUploader
cli/transports/WebSocketTransport.ts,cli,covered-by-rust-equivalent,cli/WebSocketTransport
cli/transports/WorkerStateUploader.ts,cli,covered-by-rust-equivalent,cli/WorkerStateUploader
cli/transports/ccrClient.ts,cli,covered-by-rust-equivalent,cli/ccrClient
cli/transports/transportUtils.ts,cli,covered-by-rust-equivalent,cli/transportUtils
cli/update.ts,cli,covered-by-rust-equivalent,cli/update
commands/add-dir/add-dir.tsx,command,covered-by-rust-equivalent,Rust command: add-dir
commands/add-dir/index.ts,command,covered-by-rust-equivalent,Rust command: add-dir
commands/add-dir/validation.ts,command,covered-by-rust-equivalent,Rust command: add-dir
commands/advisor.ts,command-local,needs-port,advisor local command
commands/agents/agents.tsx,command,covered-by-rust-equivalent,Rust command: agents
commands/agents/index.ts,command,covered-by-rust-equivalent,Rust command: agents
commands/ant-trace/index.js,command-internal,needs-port,ant-trace internal/debug command
commands/autofix-pr/index.js,command-internal,needs-port,autofix-pr internal/debug command
commands/backfill-sessions/index.js,command-internal,needs-port,backfill-sessions internal/debug command
commands/branch/branch.ts,command,covered-by-rust-equivalent,Rust command: branch
commands/branch/index.ts,command,covered-by-rust-equivalent,Rust command: branch
commands/break-cache/index.js,command-internal,needs-port,break-cache internal/debug command
commands/bridge/bridge.tsx,command,covered-by-rust-equivalent,Rust command: bridge
commands/bridge/index.ts,command,covered-by-rust-equivalent,Rust command: bridge
commands/bridge-kick.ts,command-internal,needs-port,bridge-kick internal/debug command
commands/brief.ts,command,covered-by-rust-equivalent,Rust command: brief
commands/btw/btw.tsx,command-local,needs-port,btw local command
commands/btw/index.ts,command-local,needs-port,btw local command
commands/bughunter/index.js,command-internal,needs-port,bughunter internal/debug command
commands/chrome/chrome.tsx,command,covered-by-rust-equivalent,Rust command: chrome
commands/chrome/index.ts,command,covered-by-rust-equivalent,Rust command: chrome
commands/clear/caches.ts,command,covered-by-rust-equivalent,Rust command: clear
commands/clear/clear.ts,command,covered-by-rust-equivalent,Rust command: clear
commands/clear/conversation.ts,command,covered-by-rust-equivalent,Rust command: clear
commands/clear/index.ts,command,covered-by-rust-equivalent,Rust command: clear
commands/color/color.ts,command,covered-by-rust-equivalent,Rust command: color
commands/color/index.ts,command,covered-by-rust-equivalent,Rust command: color
commands/commit-push-pr.ts,command,covered-by-rust-equivalent,Rust command: commit-push-pr
commands/commit.ts,command,covered-by-rust-equivalent,Rust command: commit
commands/compact/compact.ts,command,covered-by-rust-equivalent,Rust command: compact
commands/compact/index.ts,command,covered-by-rust-equivalent,Rust command: compact
commands/config/config.tsx,command,covered-by-rust-equivalent,Rust command: config
commands/config/index.ts,command,covered-by-rust-equivalent,Rust command: config
commands/context/context-noninteractive.ts,command,covered-by-rust-equivalent,Rust command: context
commands/context/context.tsx,command,covered-by-rust-equivalent,Rust command: context
commands/context/index.ts,command,covered-by-rust-equivalent,Rust command: context
commands/copy/copy.tsx,command,covered-by-rust-equivalent,Rust command: copy
commands/copy/index.ts,command,covered-by-rust-equivalent,Rust command: copy
commands/cost/cost.ts,command,covered-by-rust-equivalent,Rust command: cost
commands/cost/index.ts,command,covered-by-rust-equivalent,Rust command: cost
commands/createMovedToPluginCommand.ts,command,needs-port,createMovedToPluginCommand not in Rust registry
commands/ctx_viz/index.js,command,needs-port,ctx_viz not in Rust registry
commands/debug-tool-call/index.js,command-internal,needs-port,debug-tool-call internal/debug command
commands/desktop/desktop.tsx,command,covered-by-rust-equivalent,Rust command: desktop
commands/desktop/index.ts,command,covered-by-rust-equivalent,Rust command: desktop
commands/diff/diff.tsx,command,covered-by-rust-equivalent,Rust command: diff
commands/diff/index.ts,command,covered-by-rust-equivalent,Rust command: diff
commands/doctor/doctor.tsx,command,covered-by-rust-equivalent,Rust command: doctor
commands/doctor/index.ts,command,covered-by-rust-equivalent,Rust command: doctor
commands/effort/effort.tsx,command,covered-by-rust-equivalent,Rust command: effort
commands/effort/index.ts,command,covered-by-rust-equivalent,Rust command: effort
commands/env/index.js,command-local,needs-port,env local command
commands/exit/exit.tsx,command,covered-by-rust-equivalent,Rust command: exit
commands/exit/index.ts,command,covered-by-rust-equivalent,Rust command: exit
commands/export/export.tsx,command,covered-by-rust-equivalent,Rust command: export
commands/export/index.ts,command,covered-by-rust-equivalent,Rust command: export
commands/extra-usage/extra-usage-core.ts,command-local,needs-port,extra-usage local command
commands/extra-usage/extra-usage-noninteractive.ts,command-local,needs-port,extra-usage local command
commands/extra-usage/extra-usage.tsx,command-local,needs-port,extra-usage local command
commands/extra-usage/index.ts,command-local,needs-port,extra-usage local command
commands/fast/fast.tsx,command,covered-by-rust-equivalent,Rust command: fast
commands/fast/index.ts,command,covered-by-rust-equivalent,Rust command: fast
commands/feedback/feedback.tsx,command,covered-by-rust-equivalent,Rust command: feedback
commands/feedback/index.ts,command,covered-by-rust-equivalent,Rust command: feedback
commands/files/files.ts,command,covered-by-rust-equivalent,Rust command: files
commands/files/index.ts,command,covered-by-rust-equivalent,Rust command: files
commands/good-claude/index.js,command-internal,needs-port,good-claude internal/debug command
commands/heapdump/heapdump.ts,command-internal,needs-port,heapdump internal/debug command
commands/heapdump/index.ts,command-internal,needs-port,heapdump internal/debug command
commands/help/help.tsx,command,covered-by-rust-equivalent,Rust command: help
commands/help/index.ts,command,covered-by-rust-equivalent,Rust command: help
commands/hooks/hooks.tsx,command,covered-by-rust-equivalent,Rust command: hooks
commands/hooks/index.ts,command,covered-by-rust-equivalent,Rust command: hooks
commands/ide/ide.tsx,command,covered-by-rust-equivalent,Rust command: ide
commands/ide/index.ts,command,covered-by-rust-equivalent,Rust command: ide
commands/init-verifiers.ts,command-local,needs-port,init-verifiers local command
commands/init.ts,command,covered-by-rust-equivalent,Rust command: init
commands/insights.ts,command,covered-by-rust-equivalent,Rust command: insights
commands/install-github-app/ApiKeyStep.tsx,command-external,external-service-blocked,install-github-app needs GitHub/Slack service
commands/install-github-app/CheckExistingSecretStep.tsx,command-external,external-service-blocked,install-github-app needs GitHub/Slack service
commands/install-github-app/CheckGitHubStep.tsx,command-external,external-service-blocked,install-github-app needs GitHub/Slack service
commands/install-github-app/ChooseRepoStep.tsx,command-external,external-service-blocked,install-github-app needs GitHub/Slack service
commands/install-github-app/CreatingStep.tsx,command-external,external-service-blocked,install-github-app needs GitHub/Slack service
commands/install-github-app/ErrorStep.tsx,command-external,external-service-blocked,install-github-app needs GitHub/Slack service
commands/install-github-app/ExistingWorkflowStep.tsx,command-external,external-service-blocked,install-github-app needs GitHub/Slack service
commands/install-github-app/InstallAppStep.tsx,command-external,external-service-blocked,install-github-app needs GitHub/Slack service
commands/install-github-app/OAuthFlowStep.tsx,command-external,external-service-blocked,install-github-app needs GitHub/Slack service
commands/install-github-app/SuccessStep.tsx,command-external,external-service-blocked,install-github-app needs GitHub/Slack service
commands/install-github-app/WarningsStep.tsx,command-external,external-service-blocked,install-github-app needs GitHub/Slack service
commands/install-github-app/index.ts,command-external,external-service-blocked,install-github-app needs GitHub/Slack service
commands/install-github-app/install-github-app.tsx,command-external,external-service-blocked,install-github-app needs GitHub/Slack service
commands/install-github-app/setupGitHubActions.ts,command-external,external-service-blocked,install-github-app needs GitHub/Slack service
commands/install-slack-app/index.ts,command-external,external-service-blocked,install-slack-app needs GitHub/Slack service
commands/install-slack-app/install-slack-app.ts,command-external,external-service-blocked,install-slack-app needs GitHub/Slack service
commands/install.tsx,command-external,external-service-blocked,install needs GitHub/Slack service
commands/issue/index.js,command-local,needs-port,issue local command
commands/keybindings/index.ts,command,covered-by-rust-equivalent,Rust command: keybindings
commands/keybindings/keybindings.ts,command,covered-by-rust-equivalent,Rust command: keybindings
commands/login/index.ts,command,covered-by-rust-equivalent,Rust command: login
commands/login/login.tsx,command,covered-by-rust-equivalent,Rust command: login
commands/logout/index.ts,command,covered-by-rust-equivalent,Rust command: logout
commands/logout/logout.tsx,command,covered-by-rust-equivalent,Rust command: logout
commands/mcp/addCommand.ts,command,covered-by-rust-equivalent,Rust command: mcp
commands/mcp/index.ts,command,covered-by-rust-equivalent,Rust command: mcp
commands/mcp/mcp.tsx,command,covered-by-rust-equivalent,Rust command: mcp
commands/mcp/xaaIdpCommand.ts,command,covered-by-rust-equivalent,Rust command: mcp
commands/memory/index.ts,command,covered-by-rust-equivalent,Rust command: memory
commands/memory/memory.tsx,command,covered-by-rust-equivalent,Rust command: memory
commands/mobile/index.ts,command,covered-by-rust-equivalent,Rust command: mobile
commands/mobile/mobile.tsx,command,covered-by-rust-equivalent,Rust command: mobile
commands/mock-limits/index.js,command-internal,needs-port,mock-limits internal/debug command
commands/model/index.ts,command,covered-by-rust-equivalent,Rust command: model
commands/model/model.tsx,command,covered-by-rust-equivalent,Rust command: model
commands/oauth-refresh/index.js,command-local,needs-port,oauth-refresh local command
commands/onboarding/index.js,command-internal,needs-port,onboarding internal/debug command
commands/output-style/index.ts,command,covered-by-rust-equivalent,Rust command: output-style
commands/output-style/output-style.tsx,command,covered-by-rust-equivalent,Rust command: output-style
commands/passes/index.ts,command-local,needs-port,passes local command
commands/passes/passes.tsx,command-local,needs-port,passes local command
commands/perf-issue/index.js,command-internal,needs-port,perf-issue internal/debug command
commands/permissions/index.ts,command,covered-by-rust-equivalent,Rust command: permissions
commands/permissions/permissions.tsx,command,covered-by-rust-equivalent,Rust command: permissions
commands/plan/index.ts,command,covered-by-rust-equivalent,Rust command: plan
commands/plan/plan.tsx,command,covered-by-rust-equivalent,Rust command: plan
commands/plugin/AddMarketplace.tsx,command,covered-by-rust-equivalent,Rust command: plugin
commands/plugin/BrowseMarketplace.tsx,command,covered-by-rust-equivalent,Rust command: plugin
commands/plugin/DiscoverPlugins.tsx,command,covered-by-rust-equivalent,Rust command: plugin
commands/plugin/ManageMarketplaces.tsx,command,covered-by-rust-equivalent,Rust command: plugin
commands/plugin/ManagePlugins.tsx,command,covered-by-rust-equivalent,Rust command: plugin
commands/plugin/PluginErrors.tsx,command,covered-by-rust-equivalent,Rust command: plugin
commands/plugin/PluginOptionsDialog.tsx,command,covered-by-rust-equivalent,Rust command: plugin
commands/plugin/PluginOptionsFlow.tsx,command,covered-by-rust-equivalent,Rust command: plugin
commands/plugin/PluginSettings.tsx,command,covered-by-rust-equivalent,Rust command: plugin
commands/plugin/PluginTrustWarning.tsx,command,covered-by-rust-equivalent,Rust command: plugin
commands/plugin/UnifiedInstalledCell.tsx,command,covered-by-rust-equivalent,Rust command: plugin
commands/plugin/ValidatePlugin.tsx,command,covered-by-rust-equivalent,Rust command: plugin
commands/plugin/index.tsx,command,covered-by-rust-equivalent,Rust command: plugin
commands/plugin/parseArgs.ts,command,covered-by-rust-equivalent,Rust command: plugin
commands/plugin/plugin.tsx,command,covered-by-rust-equivalent,Rust command: plugin
commands/plugin/pluginDetailsHelpers.tsx,command,covered-by-rust-equivalent,Rust command: plugin
commands/plugin/usePagination.ts,command,covered-by-rust-equivalent,Rust command: plugin
commands/pr_comments/index.ts,command,needs-port,pr_comments not in Rust registry
commands/privacy-settings/index.ts,command,covered-by-rust-equivalent,Rust command: privacy-settings
commands/privacy-settings/privacy-settings.tsx,command,covered-by-rust-equivalent,Rust command: privacy-settings
commands/rate-limit-options/index.ts,command-local,needs-port,rate-limit-options local command
commands/rate-limit-options/rate-limit-options.tsx,command-local,needs-port,rate-limit-options local command
commands/release-notes/index.ts,command,covered-by-rust-equivalent,Rust command: release-notes
commands/release-notes/release-notes.ts,command,covered-by-rust-equivalent,Rust command: release-notes
commands/reload-plugins/index.ts,command,covered-by-rust-equivalent,Rust command: reload-plugins
commands/reload-plugins/reload-plugins.ts,command,covered-by-rust-equivalent,Rust command: reload-plugins
commands/remote-env/index.ts,command-local,needs-port,remote-env local command
commands/remote-env/remote-env.tsx,command-local,needs-port,remote-env local command
commands/remote-setup/api.ts,command-local,needs-port,remote-setup local command
commands/remote-setup/index.ts,command-local,needs-port,remote-setup local command
commands/remote-setup/remote-setup.tsx,command-local,needs-port,remote-setup local command
commands/rename/generateSessionName.ts,command,covered-by-rust-equivalent,Rust command: rename
commands/rename/index.ts,command,covered-by-rust-equivalent,Rust command: rename
commands/rename/rename.ts,command,covered-by-rust-equivalent,Rust command: rename
commands/reset-limits/index.js,command-internal,needs-port,reset-limits internal/debug command
commands/resume/index.ts,command,covered-by-rust-equivalent,Rust command: resume
commands/resume/resume.tsx,command,covered-by-rust-equivalent,Rust command: resume
commands/review/UltrareviewOverageDialog.tsx,command,covered-by-rust-equivalent,Rust command: review
commands/review/reviewRemote.ts,command,covered-by-rust-equivalent,Rust command: review
commands/review/ultrareviewCommand.tsx,command,covered-by-rust-equivalent,Rust command: review
commands/review/ultrareviewEnabled.ts,command,covered-by-rust-equivalent,Rust command: review
commands/review.ts,command,covered-by-rust-equivalent,Rust command: review
commands/rewind/index.ts,command-local,needs-port,rewind local command
commands/rewind/rewind.ts,command-local,needs-port,rewind local command
commands/sandbox-toggle/index.ts,command-local,needs-port,sandbox-toggle local command
commands/sandbox-toggle/sandbox-toggle.tsx,command-local,needs-port,sandbox-toggle local command
commands/security-review.ts,command,covered-by-rust-equivalent,Rust command: security-review
commands/session/index.ts,command,covered-by-rust-equivalent,Rust command: session
commands/session/session.tsx,command,covered-by-rust-equivalent,Rust command: session
commands/share/index.js,command-local,needs-port,share local command
commands/skills/index.ts,command,covered-by-rust-equivalent,Rust command: skills
commands/skills/skills.tsx,command,covered-by-rust-equivalent,Rust command: skills
commands/stats/index.ts,command,covered-by-rust-equivalent,Rust command: stats
commands/stats/stats.tsx,command,covered-by-rust-equivalent,Rust command: stats
commands/status/index.ts,command,covered-by-rust-equivalent,Rust command: status
commands/status/status.tsx,command,covered-by-rust-equivalent,Rust command: status
commands/statusline.tsx,command,covered-by-rust-equivalent,Rust command: statusline
commands/stickers/index.ts,command-local,needs-port,stickers local command
commands/stickers/stickers.ts,command-local,needs-port,stickers local command
commands/summary/index.js,command-internal,needs-port,summary internal/debug command
commands/tag/index.ts,command,covered-by-rust-equivalent,Rust command: tag
commands/tag/tag.tsx,command,covered-by-rust-equivalent,Rust command: tag
commands/tasks/index.ts,command,covered-by-rust-equivalent,Rust command: tasks
commands/tasks/tasks.tsx,command,covered-by-rust-equivalent,Rust command: tasks
commands/teleport/index.js,command-internal,needs-port,teleport internal/debug command
commands/terminalSetup/index.ts,command,needs-port,terminalSetup not in Rust registry
commands/terminalSetup/terminalSetup.tsx,command,needs-port,terminalSetup not in Rust registry
commands/theme/index.ts,command,covered-by-rust-equivalent,Rust command: theme
commands/theme/theme.tsx,command,covered-by-rust-equivalent,Rust command: theme
commands/thinkback/index.ts,command-internal,needs-port,thinkback internal/debug command
commands/thinkback/thinkback.tsx,command-internal,needs-port,thinkback internal/debug command
commands/thinkback-play/index.ts,command-internal,needs-port,thinkback-play internal/debug command
commands/thinkback-play/thinkback-play.ts,command-internal,needs-port,thinkback-play internal/debug command
commands/ultraplan.tsx,command-local,needs-port,ultraplan local command
commands/upgrade/index.ts,command,covered-by-rust-equivalent,Rust command: upgrade
commands/upgrade/upgrade.tsx,command,covered-by-rust-equivalent,Rust command: upgrade
commands/usage/index.ts,command,covered-by-rust-equivalent,Rust command: usage
commands/usage/usage.tsx,command,covered-by-rust-equivalent,Rust command: usage
commands/version.ts,command,covered-by-rust-equivalent,Rust command: version
commands/vim/index.ts,command,covered-by-rust-equivalent,Rust command: vim
commands/vim/vim.ts,command,covered-by-rust-equivalent,Rust command: vim
commands/voice/index.ts,command,covered-by-rust-equivalent,Rust command: voice
commands/voice/voice.ts,command,covered-by-rust-equivalent,Rust command: voice
commands.ts,misc,covered-by-rust-equivalent,top-level commands.ts
components/AgentProgressLine.tsx,tui-component,covered-by-rust-equivalent,TUI component AgentProgressLine
components/App.tsx,tui-component,needs-port,TUI component App
components/ApproveApiKey.tsx,tui-component,covered-by-rust-equivalent,TUI component ApproveApiKey
components/AutoModeOptInDialog.tsx,tui-component,covered-by-rust-equivalent,TUI component AutoModeOptInDialog
components/AutoUpdater.tsx,tui-component,covered-by-rust-equivalent,TUI component AutoUpdater
components/AutoUpdaterWrapper.tsx,tui-component,covered-by-rust-equivalent,TUI component AutoUpdaterWrapper
components/AwsAuthStatusBox.tsx,tui-component,covered-by-rust-equivalent,TUI component AwsAuthStatusBox
components/BaseTextInput.tsx,tui-component,covered-by-rust-equivalent,TUI component BaseTextInput
components/BashModeProgress.tsx,tui-component,covered-by-rust-equivalent,TUI component BashModeProgress
components/BridgeDialog.tsx,tui-component,covered-by-rust-equivalent,TUI component BridgeDialog
components/BypassPermissionsModeDialog.tsx,tui-component,covered-by-rust-equivalent,TUI component BypassPermissionsModeDialog
components/ChannelDowngradeDialog.tsx,tui-component,covered-by-rust-equivalent,TUI component ChannelDowngradeDialog
components/ClaudeCodeHint/PluginHintMenu.tsx,tui-component,covered-by-rust-equivalent,TUI component PluginHintMenu
components/ClaudeInChromeOnboarding.tsx,tui-component,covered-by-rust-equivalent,TUI component ClaudeInChromeOnboarding
components/ClaudeMdExternalIncludesDialog.tsx,tui-component,covered-by-rust-equivalent,TUI component ClaudeMdExternalIncludesDialog
components/ClickableImageRef.tsx,tui-component,covered-by-rust-equivalent,TUI component ClickableImageRef
components/CompactSummary.tsx,tui-component,covered-by-rust-equivalent,TUI component CompactSummary
components/ConfigurableShortcutHint.tsx,tui-component,covered-by-rust-equivalent,TUI component ConfigurableShortcutHint
components/ConsoleOAuthFlow.tsx,tui-component,needs-port,TUI component ConsoleOAuthFlow
components/ContextSuggestions.tsx,tui-component,covered-by-rust-equivalent,TUI component ContextSuggestions
components/ContextVisualization.tsx,tui-component,covered-by-rust-equivalent,TUI component ContextVisualization
components/CoordinatorAgentStatus.tsx,tui-component,covered-by-rust-equivalent,TUI component CoordinatorAgentStatus
components/CostThresholdDialog.tsx,tui-component,covered-by-rust-equivalent,TUI component CostThresholdDialog
components/CtrlOToExpand.tsx,tui-component,covered-by-rust-equivalent,TUI component CtrlOToExpand
components/CustomSelect/SelectMulti.tsx,tui-component,covered-by-rust-equivalent,TUI component SelectMulti
components/CustomSelect/index.ts,tui-component,covered-by-rust-equivalent,TUI component index
components/CustomSelect/option-map.ts,tui-component,covered-by-rust-equivalent,TUI component option-map
components/CustomSelect/select-input-option.tsx,tui-component,covered-by-rust-equivalent,TUI component select-input-option
components/CustomSelect/select-option.tsx,tui-component,covered-by-rust-equivalent,TUI component select-option
components/CustomSelect/select.tsx,tui-component,covered-by-rust-equivalent,TUI component select
components/CustomSelect/use-multi-select-state.ts,tui-component,covered-by-rust-equivalent,TUI component use-multi-select-state
components/CustomSelect/use-select-input.ts,tui-component,covered-by-rust-equivalent,TUI component use-select-input
components/CustomSelect/use-select-navigation.ts,tui-component,covered-by-rust-equivalent,TUI component use-select-navigation
components/CustomSelect/use-select-state.ts,tui-component,covered-by-rust-equivalent,TUI component use-select-state
components/DesktopHandoff.tsx,tui-component,covered-by-rust-equivalent,TUI component DesktopHandoff
components/DesktopUpsell/DesktopUpsellStartup.tsx,tui-component,covered-by-rust-equivalent,TUI component DesktopUpsellStartup
components/DevBar.tsx,tui-component,needs-port,TUI component DevBar
components/DevChannelsDialog.tsx,tui-component,covered-by-rust-equivalent,TUI component DevChannelsDialog
components/DiagnosticsDisplay.tsx,tui-component,covered-by-rust-equivalent,TUI component DiagnosticsDisplay
components/EffortCallout.tsx,tui-component,covered-by-rust-equivalent,TUI component EffortCallout
components/EffortIndicator.ts,tui-component,covered-by-rust-equivalent,TUI component EffortIndicator
components/ExitFlow.tsx,tui-component,needs-port,TUI component ExitFlow
components/ExportDialog.tsx,tui-component,covered-by-rust-equivalent,TUI component ExportDialog
components/FallbackToolUseErrorMessage.tsx,tui-component,covered-by-rust-equivalent,TUI component FallbackToolUseErrorMessage
components/FallbackToolUseRejectedMessage.tsx,tui-component,covered-by-rust-equivalent,TUI component FallbackToolUseRejectedMessage
components/FastIcon.tsx,tui-component,needs-port,TUI component FastIcon
components/Feedback.tsx,tui-component,covered-by-rust-equivalent,TUI component Feedback
components/FeedbackSurvey/FeedbackSurvey.tsx,tui-component,covered-by-rust-equivalent,TUI component FeedbackSurvey
components/FeedbackSurvey/FeedbackSurveyView.tsx,tui-component,covered-by-rust-equivalent,TUI component FeedbackSurveyView
components/FeedbackSurvey/TranscriptSharePrompt.tsx,tui-component,covered-by-rust-equivalent,TUI component TranscriptSharePrompt
components/FeedbackSurvey/submitTranscriptShare.ts,tui-component,covered-by-rust-equivalent,TUI component submitTranscriptShare
components/FeedbackSurvey/useDebouncedDigitInput.ts,tui-component,covered-by-rust-equivalent,TUI component useDebouncedDigitInput
components/FeedbackSurvey/useFeedbackSurvey.tsx,tui-component,covered-by-rust-equivalent,TUI component useFeedbackSurvey
components/FeedbackSurvey/useMemorySurvey.tsx,tui-component,covered-by-rust-equivalent,TUI component useMemorySurvey
components/FeedbackSurvey/usePostCompactSurvey.tsx,tui-component,covered-by-rust-equivalent,TUI component usePostCompactSurvey
components/FeedbackSurvey/useSurveyState.tsx,tui-component,covered-by-rust-equivalent,TUI component useSurveyState
components/FileEditToolDiff.tsx,tui-component,needs-port,TUI component FileEditToolDiff
components/FileEditToolUpdatedMessage.tsx,tui-component,covered-by-rust-equivalent,TUI component FileEditToolUpdatedMessage
components/FileEditToolUseRejectedMessage.tsx,tui-component,covered-by-rust-equivalent,TUI component FileEditToolUseRejectedMessage
components/FilePathLink.tsx,tui-component,needs-port,TUI component FilePathLink
components/FullscreenLayout.tsx,tui-component,covered-by-rust-equivalent,TUI component FullscreenLayout
components/GlobalSearchDialog.tsx,tui-component,covered-by-rust-equivalent,TUI component GlobalSearchDialog
components/HelpV2/Commands.tsx,tui-component,covered-by-rust-equivalent,TUI component Commands
components/HelpV2/General.tsx,tui-component,covered-by-rust-equivalent,TUI component General
components/HelpV2/HelpV2.tsx,tui-component,needs-port,TUI component HelpV2
components/HighlightedCode/Fallback.tsx,tui-component,covered-by-rust-equivalent,TUI component Fallback
components/HighlightedCode.tsx,tui-component,covered-by-rust-equivalent,TUI component HighlightedCode
components/HistorySearchDialog.tsx,tui-component,covered-by-rust-equivalent,TUI component HistorySearchDialog
components/IdeAutoConnectDialog.tsx,tui-component,covered-by-rust-equivalent,TUI component IdeAutoConnectDialog
components/IdeOnboardingDialog.tsx,tui-component,covered-by-rust-equivalent,TUI component IdeOnboardingDialog
components/IdeStatusIndicator.tsx,tui-component,covered-by-rust-equivalent,TUI component IdeStatusIndicator
components/IdleReturnDialog.tsx,tui-component,covered-by-rust-equivalent,TUI component IdleReturnDialog
components/InterruptedByUser.tsx,tui-component,covered-by-rust-equivalent,TUI component InterruptedByUser
components/InvalidConfigDialog.tsx,tui-component,covered-by-rust-equivalent,TUI component InvalidConfigDialog
components/InvalidSettingsDialog.tsx,tui-component,covered-by-rust-equivalent,TUI component InvalidSettingsDialog
components/KeybindingWarnings.tsx,tui-component,covered-by-rust-equivalent,TUI component KeybindingWarnings
components/LanguagePicker.tsx,tui-component,covered-by-rust-equivalent,TUI component LanguagePicker
components/LogSelector.tsx,tui-component,covered-by-rust-equivalent,TUI component LogSelector
components/LogoV2/AnimatedAsterisk.tsx,tui-component,needs-port,TUI component AnimatedAsterisk
components/LogoV2/AnimatedClawd.tsx,tui-component,needs-port,TUI component AnimatedClawd
components/LogoV2/ChannelsNotice.tsx,tui-component,covered-by-rust-equivalent,TUI component ChannelsNotice
components/LogoV2/Clawd.tsx,tui-component,needs-port,TUI component Clawd
components/LogoV2/CondensedLogo.tsx,tui-component,needs-port,TUI component CondensedLogo
